246Q3;High card
25673;High card
257T9;High card
25QT4;High card
2835A;High card
2857T;High card
29TQ4;High card
29K46;High card
29KT8;High card
2T4KA;High card
2Q683;High card
2A59T;High card
2AQT3;High card
3495T;High card
382Q9;High card
3975K;High card
39T82;High card
3K57Q;High card
3K97Q;High card
3ATK7;High card
42836;High card
42T79;High card
43K78;High card
458Q9;High card
48K76;High card
49762;High card
49Q5K;High card
4T28A;High card
4K276;High card
4A3K8;High card
52AK6;High card
53A84;High card
54KT6;High card
56T7Q;High card
576A8;High card
59678;High card
5Q9T8;High card
5QT36;High card
5K348;High card
5A264;High card
5A972;High card
62A57;High card
6423K;High card
64KA7;High card
674QA;High card
683KT;High card
69T32;High card
6T73A;High card
6A92T;High card
72A34;High card
74562;High card
74Q53;High card
759QT;High card
75TKA;High card
76359;High card
7893A;High card
7895A;High card
7TQ52;High card
7TK48;High card
7K4T2;High card
83Q52;High card
85T37;High card
86239;High card
8645A;High card
8679T;High card
89327;High card
8A562;High card
936QA;High card
93T7Q;High card
9562T;High card
97K8T;High card
9867A;High card
986Q5;High card
9T473;High card
9TA5K;High card
9K32T;High card
9KT48;High card
9A4QK;High card
9AK43;High card
T29AQ;High card
T3QK6;High card
T4QA5;High card
T65Q2;High card
T723K;High card
T754A;High card
T7694;High card
T786Q;High card
TA568;High card
Q2487;High card
Q258T;High card
Q286T;High card
Q2K9A;High card
Q43K5;High card
Q47T2;High card
Q47TA;High card
Q5684;High card
Q67TA;High card
Q78TK;High card
Q8KA5;High card
Q942K;High card
Q9A83;High card
QT9K2;High card
K2357;High card
K236A;High card
K23AQ;High card
K2568;High card
K3456;High card
K6Q25;High card
K7Q89;High card
K89Q6;High card
K9365;High card
KT84Q;High card
KAT25;High card
A458K;High card
A4768;High card
A4T2Q;High card
A6T8K;High card
A6Q83;High card
A7T38;High card
A82Q7;High card
A948Q;High card
A9Q46;High card
AQ7T2;High card
J25T9;One pair
J4729;One pair
J587Q;One pair
J762K;One pair
J76Q8;One pair
J876T;One pair
J8K23;One pair
J9Q35;One pair
JTA68;One pair
JQ457;One pair
JQ462;One pair
JQ487;One pair
JQAKT;One pair
JKTQ2;One pair
JAK97;One pair
22794;One pair
23438;One pair
23559;One pair
26494;One pair
26K55;One pair
2878T;One pair
29TJ3;One pair
29T98;One pair
2T682;One pair
2Q792;One pair
2QATA;One pair
2A85J;One pair
2AQTT;One pair
3J9A4;One pair
33Q2T;One pair
33QA9;One pair
35998;One pair
36893;One pair
375AJ;One pair
37768;One pair
37QKK;One pair
386A3;One pair
3T82J;One pair
3Q392;One pair
3K7K8;One pair
3A9TJ;One pair
42TQJ;One pair
449A8;One pair
44K72;One pair
46JT8;One pair
4639J;One pair
467Q4;One pair
49845;One pair
49KKA;One pair
4T755;One pair
4T9KK;One pair
4K266;One pair
4K354;One pair
4KQK2;One pair
4A2J7;One pair
4A2Q4;One pair
4A49T;One pair
4A8JT;One pair
5JA3Q;One pair
52Q29;One pair
53J9K;One pair
54622;One pair
54779;One pair
55437;One pair
55A64;One pair
56828;One pair
56844;One pair
574K7;One pair
576J8;One pair
57734;One pair
58QJ4;One pair
5T5A9;One pair
5T787;One pair
5TAA7;One pair
5QKJ7;One pair
5K2QQ;One pair
5A424;One pair
5AA92;One pair
6JK8A;One pair
62659;One pair
629KJ;One pair
62AKA;One pair
6425J;One pair
6586Q;One pair
65A88;One pair
66KT9;One pair
689J4;One pair
69T88;One pair
6Q4Q8;One pair
6QAJ3;One pair
6KJQ2;One pair
6KAK5;One pair
